power_watts,work_j,time_sec
1000,1000,1
956,1912,2
804,4020,5
772,7720,10
749,11235,15
669,20070,30
538,24210,45
516,30960,60
466,34950,75
434,39060,90
417,50040,120
383,57450,150
369,66420,180
363,76230,210
356,85440,240
351,94770,270
333,99900,300
318,104940,330
315,113400,360
317,126800,400
314,131880,420
312,140400,450
305,146400,480
299,152490,510
294,158760,540
287,172200,600
276,182160,660
271,195120,720
267,208260,780
266,223440,840
264,237600,900
262,251520,960
261,281880,1080
261,313200,1200
260,343200,1320
261,375840,1440
244,380640,1560
240,403200,1680
241,433800,1800
239,501900,2100
237,568800,2400
236,637200,2700
237,711000,3000
229,824400,3600
216,907200,4200
203,1096200,5400
203,1278900,6300